rank,name,overall_score,teaching_score,research_score,citations_score,industry_income_score,international_outlook_score,number_students,student_staff_ratio,intl_students,year
270,University of Texas at Dallas,-,23.6,36.7,44.2,31.1,35.9,"16,306",22.8,0.23,2012
271,University of the Witwatersrand,-,25.6,32.4,32.7,100,71.7,"23,321",18.6,0.09,2012
272,University of Tsukuba,-,37.2,26.2,41.4,32,27.2,"15,930",12.6,0.16,2012
273,University of Wollongong,-,21.4,23,43.5,40.4,88.7,"16,489",25.4,0.24,2012
274,Victoria University of Wellington,-,16.5,21.5,51.1,25.8,89,"17,142",21.1,0.21,2012
275,Virginia Polytechnic Institute and State University,-,36.9,40.4,30.3,24.2,25.1,"30,850",18.6,0.10,2012
276,Wayne State University,-,34.7,16.4,55.2,-,24.6,"23,065",10.7,0.07,2012
277,Aberystwyth University,-,19.8,15.5,56.6,35.5,63.8,"9,252",19.2,0.18,2012
278,Autonomous University of Madrid,-,28.8,21.4,47.5,32.5,39.7,"28,296",13,0.15,2012
279,Hokkaido University,-,44.5,34.3,21.6,38.7,18.8,"18,162",8.2,0.09,2012
280,Hong Kong Baptist University,-,20,11.2,59.7,25.3,58.9,"10,441",11,0.25,2012
281,Istanbul Technical University,-,25.1,18.2,48.9,99.1,18.9,"34,550",16,0.05,2012
282,Lomonosov Moscow State University,-,47.9,27.5,11,80,53.3,"30,822",7.7,0.20,2012
283,Middle East Technical University,-,37,28.9,35.1,43.2,23.5,"25,779",22.2,0.07,2012
284,Montpellier University,-,24.3,8.7,62.3,24.9,52.9,"36,731",18.4,0.14,2012
285,Queensland University of Technology,-,21,26.7,35.5,62.5,76.7,"33,391",35.8,0.17,2012
286,State University of Campinas,-,52.3,33.1,15.2,43.2,19.1,"27,095",15.3,0.03,2012
